タイトル,プラットフォーム,配信開始日時,制作会社,URL
龍族Ⅱ -The Mourner's Eyes-,FOD,2025-10-08 01:00,HANABARA Animation,https://ryuzoku-anime.com/
龍族Ⅱ -The Mourner's Eyes-,ABEMA,2025-10-08 01:00,HANABARA Animation,https://ryuzoku-anime.com/
龍族Ⅱ -The Mourner's Eyes-,Hulu,2025-10-08 01:00,HANABARA Animation,https://ryuzoku-anime.com/
龍族Ⅱ -The Mourner's Eyes-,Lemino,2025-10-08 01:00,HANABARA Animation,https://ryuzoku-anime.com/
龍族Ⅱ -The Mourner's Eyes-,アニメタイムズ,2025-10-08 01:00,HANABARA Animation,https://ryuzoku-anime.com/
龍族Ⅱ -The Mourner's Eyes-,AnimeFesta,2025-10-08 01:00,HANABARA Animation,https://ryuzoku-anime.com/
嘆きの亡霊は引退したい 第2クール,ABEMA,2025-09-28 23:30,ゼロジー,https://nageki-anime.com/
嘆きの亡霊は引退したい 第2クール,dアニメストア,2025-10-04 23:30,ゼロジー,https://nageki-anime.com/
矢野くんの普通の日々,アニメ放題,2025-09-28 14:00,亜細亜堂,https://yanokun-anime.com/
矢野くんの普通の日々,dアニメストア,2025-10-01 20:00,亜細亜堂,https://yanokun-anime.com/
矢野くんの普通の日々,U-NEXT,2025-10-01 20:00,亜細亜堂,https://yanokun-anime.com/
ワンダンス,Prime Video,2025-10-09 00:15,サイクロングラフィックス,https://wandance.asmik-ace.co.jp/
ワンダンス,dアニメストア,2025-10-10 00:00,サイクロングラフィックス,https://wandance.asmik-ace.co.jp/
ワンダンス,DMM TV,2025-10-10 00:00,サイクロングラフィックス,https://wandance.asmik-ace.co.jp/
父は英雄、母は精霊、娘の私は転生者。,dアニメストア,2025-10-05 00:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,Prime Video,2025-10-05 00:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,dアニメストア for Prime Video,2025-10-05 00:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,U-NEXT,2025-10-08 22:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,アニメ放題,2025-10-08 22:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,ABEMA,2025-10-08 22:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,DMM TV,2025-10-11 22:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,FOD,2025-10-11 22:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,Hulu,2025-10-11 22:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,Lemino,2025-10-11 22:00,J.C.STAFF,https://hahanoha-anime.com/
父は英雄、母は精霊、娘の私は転生者。,バンダイチャンネル,2025-10-11 22:00,J.C.STAFF,https://hahanoha-anime.com/
結婚指輪物語Ⅱ,ABEMA,2025-10-04 22:30,ステイプルエンタテインメント,http://talesofweddingrings-anime.jp/
結婚指輪物語Ⅱ,U-NEXT,2025-10-04 22:30,ステイプルエンタテインメント,http://talesofweddingrings-anime.jp/
結婚指輪物語Ⅱ,アニメ放題,2025-10-04 22:30,ステイプルエンタテインメント,http://talesofweddingrings-anime.jp/
結婚指輪物語Ⅱ,Prime Video,2025-10-07 22:00,ステイプルエンタテインメント,http://talesofweddingrings-anime.jp/
結婚指輪物語Ⅱ,dアニメストア,2025-10-07 22:00,ステイプルエンタテインメント,http://talesofweddingrings-anime.jp/
結婚指輪物語Ⅱ,dアニメストア for Prime Video,2025-10-07 22:00,ステイプルエンタテインメント,http://talesofweddingrings-anime.jp/
Let’s Play クエストだらけのマイライフ,FOD,2025-10-02 00:00,OLM,https://letsplay-anime.com/
Let’s Play クエストだらけのマイライフ,ABEMA,2025-10-02 12:00,OLM,https://letsplay-anime.com/
とんでもスキルで異世界放浪メシ2,ABEMA,2025-10-07 00:00,MAPPA,https://tondemoskill-anime.com/
とんでもスキルで異世界放浪メシ2,Prime Video,2025-10-07 15:00,MAPPA,https://tondemoskill-anime.com/
とんでもスキルで異世界放浪メシ2,AnimeFesta,2025-10-12 00:00,MAPPA,https://tondemoskill-anime.com/
とんでもスキルで異世界放浪メシ2,DMM TV,2025-10-12 00:00,MAPPA,https://tondemoskill-anime.com/
とんでもスキルで異世界放浪メシ2,dアニメストア,2025-10-12 00:00,MAPPA,https://tondemoskill-anime.com/
とんでもスキルで異世界放浪メシ2,dアニメストア for Prime Video,2025-10-12 00:00,MAPPA,https://tondemoskill-anime.com/
とんでもスキルで異世界放浪メシ2,バンダイチャンネル,2025-10-12 00:00,MAPPA,https://tondemoskill-anime.com/
とんでもスキルで異世界放浪メシ2,Lemino,2025-10-12 00:00,MAPPA,https://tondemoskill-anime.com/
顔に出ない柏田さんと顔に出る太田君,dアニメストア,2025-10-04 00:00,STUDIO POLON,https://kashiwada-ohta.com/
顔に出ない柏田さんと顔に出る太田君,U-NEXT,2025-10-04 21:00,STUDIO POLON,https://kashiwada-ohta.com/
顔に出ない柏田さんと顔に出る太田君,アニメ放題,2025-10-04 21:00,STUDIO POLON,https://kashiwada-ohta.com/
顔に出ない柏田さんと顔に出る太田君,ABEMA,2025-10-09 21:00,STUDIO POLON,https://kashiwada-ohta.com/
顔に出ない柏田さんと顔に出る太田君,Lemino,2025-10-09 21:00,STUDIO POLON,https://kashiwada-ohta.com/
顔に出ない柏田さんと顔に出る太田君,Prime Video,2025-10-09 21:00,STUDIO POLON,https://kashiwada-ohta.com/
SANDA,Prime Video,2025-10-04 00:00,サイエンスSARU,https://sanda.red/
ある日、お姫様になってしまった件について,dアニメストア,2025-09-28 01:00,重庆彩色铅笔动漫设计有限责任公司,https://aruhime-anime.jp/
ある日、お姫様になってしまった件について,U-NEXT,2025-09-28 01:00,重庆彩色铅笔动漫设计有限责任公司,https://aruhime-anime.jp/
ある日、お姫様になってしまった件について,アニメ放題,2025-09-28 01:00,重庆彩色铅笔动漫设计有限责任公司,https://aruhime-anime.jp/
破産富豪 The Richest Man in GAME,FOD,2025-09-28 12:00,福煦影視,https://www.fujitv.co.jp/hasanfugou/
破産富豪 The Richest Man in GAME,ABEMA,2025-09-28 12:00,福煦影視,https://www.fujitv.co.jp/hasanfugou/
アンデッドアンラック Winter編,アニメ放題,2023-10-06 02:00,E&H production,https://undead-unluck.net/
アンデッドアンラック Winter編,ABEMA,2023-10-06 02:00,E&H production,https://undead-unluck.net/
アンデッドアンラック Winter編,FOD,2023-10-06 02:00,E&H production,https://undead-unluck.net/
DIGIMON BEATBREAK,FOD,2025-10-05 09:30,フジテレビ,https://www.toei-anim.co.jp/tv/digimon_beatbreak/
DIGIMON BEATBREAK,ABEMA,2025-10-08 00:00,フジテレビ,https://www.toei-anim.co.jp/tv/digimon_beatbreak/
DIGIMON BEATBREAK,アニメ放題,2025-10-08 00:00,フジテレビ,https://www.toei-anim.co.jp/tv/digimon_beatbreak/
DIGIMON BEATBREAK,DMM TV,2025-10-08 00:00,フジテレビ,https://www.toei-anim.co.jp/tv/digimon_beatbreak/
DIGIMON BEATBREAK,U-NEXT,2025-10-08 00:00,フジテレビ,https://www.toei-anim.co.jp/tv/digimon_beatbreak/
DIGIMON BEATBREAK,Lemino,2025-10-08 00:00,フジテレビ,https://www.toei-anim.co.jp/tv/digimon_beatbreak/
ポーション、わが身を助ける,dアニメストア,2025-10-02 01:15,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,アニメタイムズ,2025-10-02 01:15,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,Prime Video,2025-10-02 01:15,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,dアニメストア for Prime Video,2025-10-02 01:15,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,ABEMA,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,U-NEXT,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,アニメ放題,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,バンダイチャンネル,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,Hulu,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,DMM TV,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,Lemino,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,FOD,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
ポーション、わが身を助ける,AnimeFesta,2025-10-03 12:00,Imagica Infos,https://animationid.com/potion/
異世界かるてっと3,dアニメストア,2025-10-13 22:30,スタジオぷYUKAI,https://isekai-quartet.com/
異世界かるてっと3,ABEMA,2025-10-13 22:30,スタジオぷYUKAI,https://isekai-quartet.com/
異世界かるてっと3,U-NEXT,2025-10-16 22:30,スタジオぷYUKAI,https://isekai-quartet.com/
異世界かるてっと3,アニメ放題,2025-10-16 22:30,スタジオぷYUKAI,https://isekai-quartet.com/
異世界かるてっと3,Lemino,2025-10-16 22:30,スタジオぷYUKAI,https://isekai-quartet.com/
機械じかけのマリー,FOD,2025-09-28 23:00,ゼロジー,https://mechanicalmarie-anime.com/
機械じかけのマリー,dアニメストア,2025-10-05 00:00,ゼロジー,https://mechanicalmarie-anime.com/
機械じかけのマリー,U-NEXT,2025-10-05 00:00,ゼロジー,https://mechanicalmarie-anime.com/
機械じかけのマリー,アニメ放題,2025-10-05 00:00,ゼロジー,https://mechanicalmarie-anime.com/
機械じかけのマリー,ABEMA,2025-10-10 23:00,ゼロジー,https://mechanicalmarie-anime.com/
機械じかけのマリー,AnimeFesta,2025-10-10 23:00,ゼロジー,https://mechanicalmarie-anime.com/
機械じかけのマリー,バンダイチャンネル,2025-10-10 23:00,ゼロジー,https://mechanicalmarie-anime.com/
機械じかけのマリー,DMM TV,2025-10-10 23:00,ゼロジー,https://mechanicalmarie-anime.com/
機械じかけのマリー,Prime Video,2025-10-10 23:00,ゼロジー,https://mechanicalmarie-anime.com/
アルマちゃんは家族になりたい,ABEMA,2025-09-28 23:00,スタジオフラッド,https://alma-chan.com/
アルマちゃんは家族になりたい,dアニメストア,2025-09-28 23:00,スタジオフラッド,https://alma-chan.com/
太陽よりも眩しい星,Prime Video,2025-10-03 01:00,スタジオKAI,https://tamahoshi-anime.com/
太陽よりも眩しい星,ABEMA,2025-10-03 01:00,スタジオKAI,https://tamahoshi-anime.com/
太陽よりも眩しい星,DMM TV,2025-10-10 01:00,スタジオKAI,https://tamahoshi-anime.com/
太陽よりも眩しい星,dアニメストア,2025-10-10 01:00,スタジオKAI,https://tamahoshi-anime.com/
太陽よりも眩しい星,U-NEXT,2025-10-10 01:00,スタジオKAI,https://tamahoshi-anime.com/
太陽よりも眩しい星,アニメタイムズ,2025-10-10 01:00,スタジオKAI,https://tamahoshi-anime.com/
太陽よりも眩しい星,アニメ放題,2025-10-10 01:00,スタジオKAI,https://tamahoshi-anime.com/
太陽よりも眩しい星,バンダイチャンネル,2025-10-10 01:00,スタジオKAI,https://tamahoshi-anime.com/
デブとラブと過ちと！,U-NEXT,2025-10-06 23:00,マーヴィージャック,https://s.mxtv.jp/anime/debulove/
デブとラブと過ちと！,アニメ放題,2025-10-06 23:00,マーヴィージャック,https://s.mxtv.jp/anime/debulove/
デブとラブと過ちと！,Lemino,2025-10-06 23:00,マーヴィージャック,https://s.mxtv.jp/anime/debulove/
デブとラブと過ちと！,アニメタイムズ,2025-10-06 23:00,マーヴィージャック,https://s.mxtv.jp/anime/debulove/
デブとラブと過ちと！,ABEMA,2025-10-09 23:00,マーヴィージャック,https://s.mxtv.jp/anime/debulove/
デブとラブと過ちと！,Prime Video,2025-10-09 23:00,マーヴィージャック,https://s.mxtv.jp/anime/debulove/
デブとラブと過ちと！,バンダイチャンネル,2025-10-09 23:00,マーヴィージャック,https://s.mxtv.jp/anime/debulove/
デブとラブと過ちと！,dアニメストア,2025-10-09 23:00,マーヴィージャック,https://s.mxtv.jp/anime/debulove/
ワンパンマン (第3期),アニメ放題,2025-10-05 00:30,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),ABEMA,2025-10-05 00:30,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),Prime Video,2025-10-05 00:30,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),アニメタイムズ,2025-10-05 00:30,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),Netflix,2025-10-05 01:30,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),dアニメストア,2025-10-05 01:30,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),バンダイチャンネル,2025-10-05 22:00,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),Hulu,2025-10-10 18:00,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),U-NEXT,2025-10-10 18:00,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),Lemino,2025-10-10 18:00,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),DMM TV,2025-10-12 00:30,J.C.STAFF,https://onepunchman-anime.net/
ワンパンマン (第3期),FOD,2025-10-17 18:00,J.C.STAFF,https://onepunchman-anime.net/
不器用な先輩。,DMM TV,2025-09-28 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,U-NEXT,2025-10-02 22:30,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,アニメ放題,2025-10-02 22:30,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,Prime Video,2025-10-06 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,ABEMA,2025-10-06 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,dアニメストア,2025-10-06 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,Lemino,2025-10-06 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,アニメタイムズ,2025-10-06 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,FOD,2025-10-06 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,AnimeFesta,2025-10-06 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
不器用な先輩。,バンダイチャンネル,2025-10-06 00:00,スタジオエル,https://bukiyouna-senpai.asmik-ace.co.jp/
グノーシア,ABEMA,2025-10-11 00:00,ドメリカ,https://gnosia-anime.com/
グノーシア,dアニメストア,2025-10-11 00:00,ドメリカ,https://gnosia-anime.com/
グノーシア,Prime Video,2025-10-11 12:00,ドメリカ,https://gnosia-anime.com/
グノーシア,dアニメストア for Prime Video,2025-10-11 12:00,ドメリカ,https://gnosia-anime.com/
グノーシア,Netflix,2025-10-14 00:00,ドメリカ,https://gnosia-anime.com/
グノーシア,DMM TV,2025-10-14 00:00,ドメリカ,https://gnosia-anime.com/
グノーシア,アニメタイムズ,2025-10-14 00:00,ドメリカ,https://gnosia-anime.com/
グノーシア,AnimeFesta,2025-10-14 00:00,ドメリカ,https://gnosia-anime.com/
グノーシア,FOD,2025-10-14 12:00,ドメリカ,https://gnosia-anime.com/
グノーシア,U-NEXT,2025-10-14 12:00,ドメリカ,https://gnosia-anime.com/
グノーシア,アニメ放題,2025-10-14 12:00,ドメリカ,https://gnosia-anime.com/
グノーシア,バンダイチャンネル,2025-10-14 12:00,ドメリカ,https://gnosia-anime.com/
グノーシア,Hulu,2025-10-14 12:00,ドメリカ,https://gnosia-anime.com/
最後にひとつだけお願いしてもよろしいでしょうか,Prime Video,2025-10-03 00:30,ライデンフィルム,https://saihito-anime.com/
最後にひとつだけお願いしてもよろしいでしょうか,Netflix,2025-10-03 00:30,ライデンフィルム,https://saihito-anime.com/
最後にひとつだけお願いしてもよろしいでしょうか,dアニメストア,2025-10-03 00:30,ライデンフィルム,https://saihito-anime.com/
暗殺者である俺のステータスが勇者よりも明らかに強いのだが,ABEMA,2025-10-08 23:00,サンライズ,https://sutetsuyo-anime.com/
暗殺者である俺のステータスが勇者よりも明らかに強いのだが,dアニメストア,2025-10-08 23:00,サンライズ,https://sutetsuyo-anime.com/
転生悪女の黒歴史,dアニメストア,2025-10-08 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,ABEMA,2025-10-08 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,Prime Video,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,U-NEXT,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,アニメ放題,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,DMM TV,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,Hulu,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,アニメタイムズ,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,バンダイチャンネル,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,FOD,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
転生悪女の黒歴史,AnimeFesta,2025-10-11 00:30,スタジオディーン,https://tenkuro-pr.com/
かくりよの宿飯 弐,Prime Video,2025-10-01 00:00,GONZO,http://kakuriyo-anime.com/
私を喰べたい、ひとでなし,ABEMA,2025-10-02 00:00,スタジオリングス,https://wata-tabe.com/
私を喰べたい、ひとでなし,dアニメストア,2025-10-02 00:00,スタジオリングス,https://wata-tabe.com/
